name,size,cost,discount,original_name,original_price
Diamond Accent Milgrain Band in 10K Rose Gold, Na, $269.99, 20%, Diamond Accent Milgrain Band in 10K Rose Gold, $269.99  (20% off)
Diamond Ribbon Wrapped Contour Wedding Band in 14K White Gold, 1/8 CT. T.W., $499.99, 21%, 1/8 CT. T.W. Diamond Ribbon Wrapped Contour Wedding Band in 14K White Gold, $499.99  (21% off)
Diamond Double Row Band in 14K White Gold, 1/4 CT. T.W., $699.99, 20%, 1/4 CT. T.W. Diamond Double Row Band in 14K White Gold, $699.99  (20% off)
Diamond Twist Contour Band in 14K White Gold, 1/4 CT. T.W., $599.99, 21%, 1/4 CT. T.W. Diamond Twist Contour Band in 14K White Gold, $599.99  (21% off)
Diamond Alternating Heart Stackable Band in 10K Rose Gold, 1/20 CT. T.W., $199.99, 20%, 1/20 CT. T.W. Diamond Alternating Heart Stackable Band in 10K Rose Gold, $199.99  (20% off)
Diamond Art Deco Vintage-Style Band in 10K White Gold, 1/5 CT. T.W., $399.99, 20%, 1/5 CT. T.W. Diamond Art Deco Vintage-Style Band in 10K White Gold, $399.99  (20% off)
Diamond Double Row Contour Wedding Band in 14K White Gold, 1/5 CT. T.W., $549.99, 20%, 1/5 CT. T.W. Diamond Double Row Contour Wedding Band in 14K White Gold, $549.99  (20% off)
Diamond Anniversary Band in 14K Gold, 1/4 CT. T.W., $499.99, 21%, 1/4 CT. T.W. Diamond Anniversary Band in 14K Gold, $499.99  (21% off)
Princess-Cut and Round Diamond Heart Frame Ring in 10K White Gold, 1/2 CT. T.W., $629.99, 21%, 1/2 CT. T.W. Princess-Cut and Round Diamond Heart Frame Ring in 10K White Gold, $629.99  (21% off)
Baguette and Round Diamond Band in 10K White Gold, 1/4 CT. T.W., $499.99, 21%, 1/4 CT. T.W. Baguette and Round Diamond Band in 10K White Gold, $499.99  (21% off)
Certified Princess-Cut and Round Diamond Multi-Row Band in 14K White Gold (I/SI2), 5/8 CT. T.W., $1499.99, 20%, 5/8 CT. T.W. Certified Princess-Cut and Round Diamond Multi-Row Band in 14K White Gold (I/SI2), $1499.99  (20% off)
Diamond Eternity Band in 14K White Gold, 3 CT. T.W., $5499.99, 20%, 3 CT. T.W. Diamond Eternity Band in 14K White Gold, $5499.99  (20% off)
Diamond Frame Split Shank Ring in 10K Gold, 1/4 CT. T.W., $429.99, 20%, 1/4 CT. T.W. Diamond Frame Split Shank Ring in 10K Gold, $429.99  (20% off)
Oval and Round Diamond Double Row Band in 14K White Gold, 1/2 CT. T.W., $1299.99, 20%, 1/2 CT. T.W. Oval and Round Diamond Double Row Band in 14K White Gold, $1299.99  (20% off)
Composite Diamond Double Heart-Shaped Frame Split Shank Ring in 10K White Gold, 1 CT. T.W., $1389.99, 20%, 1 CT. T.W. Composite Diamond Double Heart-Shaped Frame Split Shank Ring in 10K White Gold, $1389.99  (20% off)
Composite Diamond Multi-Row Ring in 10K White Gold, 1/2 CT. T.W., $629.99, 21%, 1/2 CT. T.W. Composite Diamond Multi-Row Ring in 10K White Gold, $629.99  (21% off)
Composite Diamond Cushion Frame Crossover Shank Ring in 10K White Gold, 1/3 CT. T.W., $469.99, 22%, 1/3 CT. T.W. Composite Diamond Cushion Frame Crossover Shank Ring in 10K White Gold, $469.99  (22% off)
Composite Diamond Flower Ring in 10K White Gold, 1/4 CT. T.W., $369.99, 21%, 1/4 CT. T.W. Composite Diamond Flower Ring in 10K White Gold, $369.99  (21% off)
Composite Diamond Split Twist Shank Ring in 10K White Gold, 1/3 CT. T.W., $429.99, 20%, 1/3 CT. T.W. Composite Diamond Split Twist Shank Ring in 10K White Gold, $429.99  (20% off)
Composite Diamond Square Frame Twist Ring in 10K White Gold, 1/2 CT. T.W., $629.99, 21%, 1/2 CT. T.W. Composite Diamond Square Frame Twist Ring in 10K White Gold, $629.99  (21% off)
Baguette and Round Diamond Band in 14K White Gold, 3/4 CT. T.W., $1499.99, 20%, 3/4 CT. T.W. Baguette and Round Diamond Band in 14K White Gold, $1499.99  (20% off)
Wonder Woman™ Collection Garnet and Blue Sapphire Symbol Ring in Sterling Silver and 10K Gold, Na, $299.99, 21%, Wonder Woman™ Collection Garnet and Blue Sapphire Symbol Ring in Sterling Silver and 10K Gold, $299.99  (21% off)
Composite Diamond Linear Three Stone Open Wrap Ring in 10K Gold - Size 7, 1/6 CT. T.W., $309.99, 22%, 1/6 CT. T.W. Composite Diamond Linear Three Stone Open Wrap Ring in 10K Gold - Size 7, $309.99  (22% off)
1- Composite Diamond Frame Multi-Row Shank Ring in 10K Two-Tone Gold, 1/2 CT. T.W., $1809.99, 20%, 1-1/2 CT. T.W. Composite Diamond Frame Multi-Row Shank Ring in 10K Two-Tone Gold, $1809.99  (20% off)
Diamond Orbit Ring in 10K White Gold - Size 7, 1/3 CT. T.W., $469.99, 22%, 1/3 CT. T.W. Diamond Orbit Ring in 10K White Gold - Size 7, $469.99  (22% off)
Diamond Double Frame Ring in 10K White Gold, 1 CT. T.W., $1269.99, 21%, 1 CT. T.W. Diamond Double Frame Ring in 10K White Gold, $1269.99  (21% off)
Diamond Frame Three Stone Split Shank Ring in 10K White Gold, 2 CT. T.W., $1809.99, 20%, 2 CT. T.W. Diamond Frame Three Stone Split Shank Ring in 10K White Gold, $1809.99  (20% off)
Composite Diamond Square Frame Ring in 10K White Gold, 3/8 CT. T.W., $529.99, 21%, 3/8 CT. T.W. Composite Diamond Square Frame Ring in 10K White Gold, $529.99  (21% off)
Composite Diamond Cushion Frame Split Shank Ring in 10K White Gold, 3/4 CT. T.W., $909.99, 20%, 3/4 CT. T.W. Composite Diamond Cushion Frame Split Shank Ring in 10K White Gold, $909.99  (20% off)
Composite Diamond Frame Vintage-Style Ring in 10K White Gold, 1/4 CT. T.W., $429.99, 20%, 1/4 CT. T.W. Composite Diamond Frame Vintage-Style Ring in 10K White Gold, $429.99  (20% off)
Composite Diamond Frame Split Shank Ring in 10K White Gold, 1 CT. T.W., $1169.99, 20%, 1 CT. T.W. Composite Diamond Frame Split Shank Ring in 10K White Gold, $1169.99  (20% off)
Composite Diamond Flower Ring in 10K White Gold, 1 CT. T.W., $949.99, 21%, 1 CT. T.W. Composite Diamond Flower Ring in 10K White Gold, $949.99  (21% off)
1- Diamond Three Flower Bypass Ring in 14K Gold, 1/2 CT. T.W., $2279.99, 20%, 1-1/2 CT. T.W. Diamond Three Flower Bypass Ring in 14K Gold, $2279.99  (20% off)
Composite Diamond Scallop Frame Ring in 10K Rose Gold, 1/4 CT. T.W., $429.99, 20%, 1/4 CT. T.W. Composite Diamond Scallop Frame Ring in 10K Rose Gold, $429.99  (20% off)
Diamond Flower Three Stone Ring in 10K Gold, 1/5 CT. T.W., $429.99, 20%, 1/5 CT. T.W. Diamond Flower Three Stone Ring in 10K Gold, $429.99  (20% off)
Diamond Band in 10K Gold, 1/6 CT. T.W., $319.99, 20%, 1/6 CT. T.W. Diamond Band in 10K Gold, $319.99  (20% off)
1- Diamond Band in 10K White Gold, 1/4 CT. T.W., $1799.99, 20%, 1-1/4 CT. T.W. Diamond Band in 10K White Gold, $1799.99  (20% off)
Diamond Seven Stone Band in 14K Gold, 1 CT. T.W., $2199.99, 20%, 1 CT. T.W. Diamond Seven Stone Band in 14K Gold, $2199.99  (20% off)
Diamond Prong Band in 14K White Gold, 1 CT. T.W., $1809.99, 20%, 1 CT. T.W. Diamond Prong Band in 14K White Gold, $1809.99  (20% off)
